Download Time (ms),Latency_1_2 (ms),Latency_1_3 (ms),Latency_1_4 (ms),Latency_1_5 (ms),Download Success, Best Peer
249,2394,1851,2242,462,true,5
3023,3400,2719,2426,4398,true,4
3020,4411,1165,493,3881,true,4
1741,110,3672,642,3924,true,1
245,1405,401,1311,352,true,5
3015,2676,2613,327,2736,true,4
3014,3742,2825,140,2329,true,4
3013,3800,4000,775,4737,true,4
1739,566,4759,1661,1210,true,1
4048,4858,1295,2009,2968,true,3
3015,3978,4620,543,2376,true,4
4047,3834,2172,3108,2254,true,3
3016,3832,4325,1826,4343,true,4
4046,463,356,396,464,true,3
240,1242,4611,4019,405,true,5
4044,1583,1492,1738,4554,true,3
245,4682,3152,4454,1018,true,5
3016,3971,3405,274,3662,true,4
3011,847,2810,242,3621,true,4
4047,3572,2469,3849,4613,true,3
4044,3852,1594,3562,2235,true,3
245,1701,2304,1695,307,true,5
3016,4257,4961,3322,4501,true,4
4046,2599,1200,2752,1675,true,3
3013,4639,3312,2511,4990,true,4
240,4272,3522,3358,3135,true,5
1737,2328,3649,3590,4208,true,1
239,4044,3967,1454,772,true,5
3022,4601,4653,813,4269,true,4
3011,3728,3801,2835,4231,true,4
244,2810,386,4692,289,true,5
245,4383,4132,3056,2346,true,5
3017,4574,4909,800,1061,true,4
249,3493,4238,4431,3233,true,5
243,3297,3407,3393,1981,true,5
1737,673,1177,4407,1422,true,1
242,4984,2936,2740,968,true,5
3012,3499,2284,560,3685,true,4
3014,4107,4969,3334,4820,true,4
3015,4765,3011,207,2388,true,4
4044,2444,1614,3117,2216,true,3
240,2484,2295,4886,1926,true,5
240,4182,4523,3887,3472,true,5
3016,4134,2182,803,4184,true,4
1738,318,1308,4849,3146,true,1
243,2522,4616,2182,420,true,5
246,2944,3102,3856,2216,true,5
1736,133,3805,3303,1828,true,1
240,4927,4506,4202,740,true,5
240,2004,4242,2053,415,true,5
244,3836,3829,2545,1087,true,5
3015,4102,2076,746,2362,true,4
1735,618,1927,3030,1088,true,1
1735,717,3245,4778,1286,true,1
3015,1645,605,166,2218,true,4
247,2855,2392,4002,164,true,5
1735,1399,3170,3947,2470,true,1
1736,1289,4593,3045,2444,true,1
241,3734,4417,3030,2568,true,5
1734,932,4059,2002,2083,true,1
237,2440,609,4594,113,true,5
245,1948,1202,2593,926,true,5
3013,4449,2844,2146,2919,true,4
4049,2950,631,4886,3800,true,3
243,3249,1886,2465,278,true,5
4044,4354,674,3469,4440,true,3
4045,2409,723,4025,1264,true,3
1733,282,3677,2110,2549,true,1
4050,4702,1419,3066,2670,true,3
243,3012,4912,4544,441,true,5
3016,1613,4494,1212,2623,true,4
4042,1943,1306,4933,4078,true,3
1733,1239,3175,4686,1544,true,1
4045,4738,1143,1954,2952,true,3
1736,1377,4911,1908,3263,true,1
3011,3749,4809,699,4992,true,4
4041,4919,1064,2975,3978,true,3
244,1516,1798,1770,966,true,5
241,479,4488,2984,385,true,5
244,2726,4588,4411,1931,true,5
4047,2505,747,3879,3265,true,3
3014,4269,4240,156,573,true,4
1730,1963,1995,4494,4641,true,1
240,1677,2880,2266,119,true,5
3014,3748,3664,3465,4981,true,4
3014,3697,4115,1699,2177,true,4
4042,4739,515,3744,1260,true,3
3012,4313,4546,870,3069,true,4
242,3166,2733,1398,170,true,5
3015,4479,3820,2638,3998,true,4
1737,2003,3516,2133,3033,true,1
4040,3599,2810,4851,3415,true,3
241,3460,3919,3039,1176,true,5
4050,3974,1355,3257,4466,true,3
4044,3311,519,4887,2562,true,3
3030,4019,3930,3517,3666,true,4
4044,4441,2174,2604,3694,true,3
4046,2599,228,3871,4464,true,3
3013,3088,1130,577,2703,true,4
3010,1828,3014,701,4604,true,4
